url,title,channel_name,comment,category
gtJ-ri_ueZY,(소름)아무도 없는 오래된 온라인게임에 누군가 접속해있다,혜안,7월 한달도 잘 부탁드립니다 ☺️👍🏼 ||| 이걸 2025년에도 보고 있네... ||| 낮에 공포게임 올려주는 혜안님은 사랑입니다.. 자기가 쏜 총알 보고 놀라는 혜안님 귀엽네요ㅋㅋㅋㅋ 더위 조심하시구요 영상 잘 챙겨보고 있읍니다😘 ||| 공포게임 낮에 올려주시는 센스..✨ 집와서 에어컨 빵빵하게 틀고 보는 따끈따끈한 혜안님 영상보는 삶.. 요즘 공포게임 많이 해주셔서 너무 좋아요 이번에는 조금 신박한 공포게임.. 진 엔딩이 궁금해지네요!! 오늘도 너무 재미있게 봤읍니다 ||| 대박 공포게임이라니 전 다른 영상 도 다  좋지만 공포게임은 혜안님 리액션 맛집이라 더 좋아요 ♥ 혜안님 7월인데 더위 조심하세요 날씨가 정말 미친 거 같읍니다.. 이제 습하고 더운 날씬 만큼 물 많이 드세요 !,게임
FZD2ANMWJTY,얼공 될뻔... 캠을 해킹하는 소닉 공포게임 ㄷㄷ,혜안,와 한글자막 지원되는 줄.. 진짜 편집자님 너무 대박이다 항상 감탄함 ||| 공포게임 절대 못보는데 혜안님껀 그나마 볼 수 있음ㅠㅠㅋㅋㅋㅋㅋ긴장 덜하게 분위기 깨는 말을 자주 해줘서 조은듯ㅠㅠㅠ ||| 편집자님 한글자막도 게임에 자막처럼 효과 넣는거 지린다ㄷㄷ ||| 혜안님 해석도 맞는 해석이고 추가로 자막으로 얘기할때 우리는 아무 잘못 한거 없는데 왜 고통 받아야하냐면서 너가 겪으란거 보니까 그 게임을 하는 플레이들한테 하는 말같아요 죽으면 리셋해서 다시 계속 죽고 살아나고를 반복하는 캐릭터들이 참다 참다 분노하며 플레이어에게 저주 하는 것 같네유ㅠ 배경에 계속 눈이 나오는 이유도 현재 즉 게임을 플레이 하는 사람이 캐릭터들 본인을 쳐다보는 눈이고 피자국이나 시체들은 거기서 죽었던 흔적 같아용 이제 너희가 겪어보라며 캠으로 플레이어 모습을 보여주려는(?) 의도 같달까 되게 기괴하면서 캐릭터들 심경을 표현한 잘 만든 게임이네요ㅜ ||| 여러분 무서울땐 이 게임을 하나하나 프로그래밍하면서 헤헤..이러면 사람들이 공포감을 느끼겠지..?? 라고 생각하는 제작자를 상상해봅시다.,게임
wF7O72urgK0,오랜만에 '내가' 무서움을 느낀 공포게임 (Within Skerry),수탉,"제작자 의도가 한시간이라고 했는데 퍼즐처럼 끼워맞추면 풀리는 엔딩이 몇 가지 더 있다고 해요^ㅅ^ 4개의 엔딩 중 하나 성공하셨으니 나머지 셋 더 하면서 비명 들려주실 수탉님 모십니다 ||| 수탉님이 깜놀 요소에 놀라는 건 많아도(비명 찰짐), 이번처럼 진짜 겁먹은 건 보기 드문데 이건 귀하군요ㅋㅋㅋㅋㅋㅋ ||| 수탉님이 꽤 예전부터 본인은 브금도 일절 없는 조용한 공포겜이 제일 무섭다고 몇번 언급하셨는데 그래서 더 이러신 듯ㅋㅋㅋㄱ ||| 와 진짜 진심으로 무서워하시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진심으로 소리지르고 쫄아버린 수탉님 되게 오랜만에 보는 듯 ||| 25:28 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ솜사.. 하아아앙 탕 졸귀",게임
XWYYg8aRcFY,카페 야간 알바 공포게임 소름이 쫙 돋았다.,우주하마,결국 끝까지 유모차를 이긴 공포가 없어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 카페 알바 유경험자로 메뉴 만들때마다 보드 보러가는 형이 더 소름이고 공포였엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 진짜 딴건 별로 안무서웠는데 람보르기니 유모차 역대급 갑툭튀 였음ㅋㅋㅋㅋ 거기에 형 비명소리까지 더해져서 의자에서 떨어질 뻔함ㅋㅋㅋㅋㅠㅠ ||| 4:41 하하 조세호 정형돈 유재석 ||| 10:30 비명 미치겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 넘 방심해서 그런가 순수하게 웃겨 아 뜻밖의 최애 모먼트,게임
2DaXav_JIKw,오랜만에 무서워서 헤드폰 한쪽 빼고 했습니다 (공포게임),수탉,강심장만 클릭하라고 했을 텐데.. 뭐 하시는 걸까요 여러분? ||| 8:56 편집자 누구에요?..ㅋㅋㅋㅋ 센스 지린다 ||| 왠지 수탉님이 비명을 지를 때마다 기분이 좋아집니다. ||| 수탉님 영상 3년째 보고 있는데 이렇게 오래 보고 있는유튭은 수탉님 밖에 없음 진짜 영상 하나하나가 새롭고 지루하지도 않고 무엇보다 비명지르는거 보는게 젤 재밌음 ||| 늘 느끼는거지만 그의 비명 소리는 심심한 닭죽에 치킨스톡 같은 존재라서 늘 흥미로워요,게임
4kKjUjKnxl0,좀비가 된.. 그녀의 이야기... #shorts,최이버,안녕하세요 신입 유튜버 최이버 입니다!! full 영상 하단 재생버튼 확인!! 추천과 구독!! 부탁드리며!! 부디 재미있게 시청해 주세요!! 감사합니다!!!!! ||| 자신을 위해 죽음도 불사한 사람을 버리고 가는건 비열한 행동으로 보이지만 아무리생각해도 등위에서 척추와 갈비뼈를 뚧고 심장만 온전히 뽑아내는 힘과 태크닉을 보면 도망가는게 맞다 ||| 죽어서는 진짜 사랑이네 ||| 진짜 이거볼때마다 맘이 찢어진다 둘다 좀비라서 가까이 갈수도 없고 그렇다고 그 여자가 좀비 되서도  남자를 위해 같은 여자 좀비 붙잡고 자기를 걱정 하지 말고 하고 하..  진짜 찐사랑이고 진짜 맘 찢어진다 ㅠㅠ ||| 남주 안 가고 계속 버티고 있는 거 개 킹받네 ;;,게임
d8UI9nwlH0I,"댓글 보지말고, 영상부터 보세요 (미친 반전게임)",혜안,"하지말라면 더 하고 싶은거 압니다..ㅎ 그래도 꼭 영상 보고 댓글 봐주세요 ;) ||| 시작부터 소녀 안광 없는 점이 신경 쓰여서 초롱초롱한 눈동자로 바꿔주고 싶었는데 엔딩까지 보니 이렇게 표현한 이유가 있었네요. 다양한 게임도 잊지 않고 플레이해 주셔서 감사합니다. ||| 진짜 개무섭,,,,,,,,, ㄹㅇ 상상도 못함;;;; 그나저나 저 개어려워보이는 게임을 몇분만에 푼 혜안도 대단하다 ||| 책장 읽어보면 뭔가 복선이나 단서가 나왔을 것 같긴 한데 안봐서 더 반전처럼 느껴지네요 ||| 아니 결말 생각도 못한 전개라 뭐지..? 하고 뇌정지 오네 이래서 찾아보지 말고 하라고 알려주신거구나 진짜 댓글 안보고 봐야 띵하고 제대로 충격받아요 꼭 영상부터 보시고 댓글 보세요!! 혜안님 더빙 웃으면서 보다가 진짜 생각못한 전개에 띵~! 했어요ㅋㅋㅋㅋㅋ 영상 재밌게 시청했어요 감사하고 수고하셨습니다!",게임
jYaLmDPU8YY,이 게임은 다소 충격적일수 있습니다(다마고치 소녀 키우기),혜안,"영상에 엔딩이 여러가지 있으니, 꼭 끝까지 봐주세요🙆🏻‍♂️ ||| 전 주인들 - 혜안같은 전 사용자들 ""처음부터 내게 고통을 주려던 사람은 아무도 없었어"" - 혜안도 처음엔 먹여주고 씻겨주고 얘기 했지만 다른 엔딩을 보기위해 먹이지 않고 씻기지 않는등 소녀를 해함 이 루트를 전 주인들도 똑같이 대함 그저 제 생각... ||| 우울증과 경계선 인격장애가 심한 사람의 심리상태, 불안장애의 심리상태를 이리 잘 표현한 게임의 제작자가 심히 건강에 걱정이 될 뿐이네요.. ||| 사람을 다마고치라는 세계에 가둬뒀을 땐 문제가 일어날 수 밖에 없다는 걸 보여주는 것 같기도 하네요 먹을 것을 주지 않거나 씻겨주지 않는 등의 기초적인 생활을 해결해주지 않아도 문제가 일어나지만, 처음처럼 모든 게이지를 다 채우더라도 자유를 박탈당해버린 비윤리적인 세계, 기본욕구를 해결하는 것 외에는 사람처럼 살 수 있는 가능성을 없애버리는 세계에서 인간은 살아갈 수 없다는 걸 보여주는 것 같아서 해피엔딩이 없는 이유도 알 것 같습니다 ||| 10:33 다 씻으면 얘기해 할 때 진짜 뒤 보고 얘기하셨네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",게임
deGZwXaqIT8,초대받지 않은 손님… 집 안에 누군가 있다 !! 공포게임 티저,버섯도리,재미있는 영상들 넘 감사해요 요즘 감기 유행인데 조심하세요❤️❤️ ||| 이거 어캐해여? ||| 오늘도 재미있는 영상 올려주셔서 감사합니다 ||| 버섯도리 오빠 몇살이에요? ||| 편집앱 뭐애요?,게임
fmYQ1IdonCs,심장 벌렁임이 멈추지 않는 600원짜리 공포게임,우주하마,"독사들 무서울 것 같을때 장난 쳐주고 웃긴 말도 해주고 이렇게 또 공포게임 해줘서 고마워 앞으로도 많이 해줘ㅋㅋㅋ 사실 우주하마 반응 보는 게 제일 재밌긴 해 ||| 5:34 짤이랑 싱크 겁나 잘 맞네 ㅋㅋㅋ ||| 무서울만하면 바보 목소리 내주는 우주하마,, 너모 좋다 ||| 갑툭튀 예측해서 독사들 심장 지켜준 게임ㅋㅋ 우좜마 공포겜 진짜좋당 공포겜 많이 해줘 형~ ||| 29:40 갑툭튀 예상하고 뿌듯해 하는 거 귀여웠음ㅋㅋㅋㅋㅋㅋㅋㅋ",게임
