url,title,channel_name,comment, label
PiyefdF0JK0,올해 하반기 역대급 국산 게임이 몰려온다!,휘바TV,"아이온2 최대 기대주긴한데 엔씨라서 마지막까지(오픈까지) 봐야할듯함 ㅋㅋ ||| 대한민국 신작게임은 뽑기가 기본 장착이네ㅋㅋㅋㅋ 뽑기 안넣으면 다 죽는 병에 걸렸나 ||| 내가 이런 말 하게 될 줄은 몰랐지만, 진짜 저 중에 그나마 궁금증이라도 생기는 건 아이온 밖에 없다.... ||| 어째 모바일 안묻은게 없네ㅠㅠㅠ pc겜러로써 아숩네용 그래도 국산게임산업 화이팅입니다ㅎㅎ ||| 24년부터 게임을 개발중인데 저희 인디게임도 기대해주세요~ ㅜ_ㅜ 열심히 만들고 있습니다.",게임
B5qWzGXlM_c,"와 미친..현재 로블록스 1위 게임 ""99일 괴물숲 살아남기"" 다운 받아봤습니다.",혜안,성민아 형이 미안 ||| 슬픈 사실은 성민이가 이 영상을 못본다는 거….ㅠㅠ ||| 19:29 혜안님의 브금에 딱 맞는 미친 박자감 ||| 이거 실제 시건 입니다. 하다보면 경비행기가 파손이 된게 있는데 이게 2022년 콜롬비아 경비행기 아마존 추락사건 입니다. 아이들 4명 조종사 1명 어른 2명이 타고 있었고 아이들 제외하고 전원이 사망 했습니다. 아이들 4명은 40일동안 아마존 우림에서 열매를 따면서 먹었습니다. 그리고 마침내 구조되었습니다. ||| 7:33 성민이 너무 귀엽다 ㅋㅋㅋㅋ ㅠㅜ 예의도 바르고ㅋㅋ 엄크까지 완벽…,게임
8bz3K1fePRY,전세계 게이머들이 기다리던 영화같은 FPS 게임,빅헤드,"58:02  킨케이드 설명할때 나오는 ""파루크 알 바시르"", ""헨리 블랙번"" 얘기 나올때 누구지? 하실수 있는 분들을 위한 설명  ""헨리 블랙번""은 배필3 캠페인의 주인공임. 짧게 배경을 설명하자면 미국은 이란에서 급부상하는 무장 세력 ""PLR""이 중동으로 마수를 뻗쳐오는 것을 보고 미해병대를 이란의 내전에 투입하게 됨.  그리고 그 시점이 ""배틀필드3"" 두번째 캠페인 챕터인 ""소드브레이커 작전""임. 블랙번도 이때 분대원들과 같이 투입됨. 아마 카터와 킨케이드도 이때 투입된것으로 보임.   우리가 아는 항공모함 전투기 미션도 이때일거임.   그리고 ""파루크 알 바시르""가 바로 무장단체 ""PLR""의 수장임.    블랙번 분대는 알 바시르를 추적하다가 비밀 금고에서 휴대용 러시아 핵탄두를 발견하였고, 3개중 2개가 사라졌다는걸 알고 상층부는 뒤집어짐.   마침 이때 러시아에서도 핵의 행방을 알게 되었고, ""디마"" 라고 불리는 특수부대 요원을 투입하게 됨.  유명한 고공 낙하 씬도 이때 벌어진 거임.  알고보니 모든 일의 배후엔 알바시르를 감시하기 위해 잠입한 CIA 요원, ""솔로몬""의 계략이었음을 알게되고, 블랙번과 디마는 핵을 탈취한 ""카파로프"" 라는 인물을 제압하기위해 같은 곳을 향함.먼저 도착한 디마가 카파로프를 제압하고, 핵의 행방을 알게됨. 이후, 블랙번과 디마는 서로 마주하게 됨.  서로 총을 거두며 블랙번이 디마의 이야기를 들어보니 사라진 핵탄두 2개는 뉴욕과 파리로 이동하고 있고, 자신을 사살 하거나 체포하면 늦어질거라며 자신을 도와달라고 말한뒤, 블랙번은 고민하다가 디마를 사살하려는 상관을 자기 손으로 직접 쏨.  디마는 그렇게 복귀하여 취조당하고, 모든 오명을 뒤집어 쓰려던 찰나, 취조실에서 탈출하여 추격한 끝에 솔로몬을 잡고, 뉴욕에서의 핵 테러는 막게 됨.  허나 디마는 노력했음에도 솔로몬이 핵탄두를 바꿔치기 해 결국 파리는 핵폭발을피하지 못함.  이후 블랙번은 불명예 전역을 당하고, 그렇게 잊혀지나 했더니, 아카데미에서 배울정도로 파급력이 컸던거 같음  이것이 아마 배틀필드 세계관에 큰 전환점이 된거 같음.  2042에서는 프랑스인인 ""선댄스"" 가 이 핵테러로 인하여 부모님을 잃었고,  ""배틀필드4""때는 중국군에게 잡혀온 주인공, ""레커""가 ""디마""를 만나게 됨. 핵테러를 막지 못해 피폭당하고 좌절한채 암살자로 살다가, 중국군에게 잡혀와 수용소에 갇혀있던 ""디마""가 주인공 ""레커"" 를 탈옥하는데 도움을 주고 죽어버림.  이 모든게 이어진다면 미국이 공공의 적을 만드려고 했던 이유도 어느정도 설명이 됨. 프랑스는 핵테러를 막지 못해 경제가 무너졌을 것이며, 나토에서도 더이상 자신들을 지켜주지 못한다고 판단하여 나갔을 가능성이 높음. 다른 동맹국들도 비슷한 이유들로 탈퇴한게 아닐까 함. 물론 이부분은 ""팍스 아르마타"" 라는 조직의 존재가 컸겠지만...  하지만 모든게 정사가 되어버렸다면 배필3때 러시아와 미국과의 전쟁이 벌어졌을것이고, 그후 얼마 지나지 않은 몇년뒤 미국과 중국, 러시아까지 합세하여 전면전을 벌였다는 말이 됨.  참고로 중국과 북한은 이 전쟁으로 혼란해졌고, 러시아도 ""배틀필드 2142"" 때 쓰여진 2족보행 전쟁 병기의 모습이 유출 되는등 있는거 없는거 다 까발려 졌음. 전쟁은 그렇게 미국의 승리로 끝났으나, 너무나 많은 피해를 입은 후인 거임.  그러니 미국의 국력이 약해진것도 어느정도 이해가 감. 미군은 러시아와의 전쟁을 하고도 바로 몇년 뒤에 아시아 전선, 유럽전선, 등등에서 인력과 장비를 갈아넣으며 밀어붙인 전쟁을 겪었으니까...  2042에서는 배필4때 격전지가 오랜 시간이 지난 뒤에 다시 전장이 되었다는 설정으로 ""탈환(Reclaimed)"" 이라는 맵이 나왔는데, 미국 전차 잔해에 ""거짓말쟁이들"" 이라고 적혀있는 걸 보면 아마 ""팍스 아르마타""라는 조직의 배후가 무엇인지 전세계에 까발려진것일 가능성도 있음.  참 괜찮은 설정이었지만 캠페인이 부실한게 아쉬움. 이러한 설명도 본편에서 더 해 줬으면 좋았을텐데, 그 부분도 많이 아쉽고... ||| 더빙 눈감고 들으면 투니버스 만화 틀어 놓은거같은 코난 검은조직같음 ||| 인트로 브금 바뀌는거 이거 귀하다 ||| 오프닝 배경음 바꾼거 개좋네 ||| 40:45 하차보병한테 포수 맡기고 하는 일이라는게 손으로 부상부위 압박하기;;",게임
i_A39WByGDc,99 포레스트 짭 게임 TOP 3!,뉴비천국,"그거 좀비소녀와 함께한 99박도 있어요 ||| 님들 그거 암? 사실 99 포레스트는 패러디라 할 수 있음. 왜냐하면 99일 출시하기 한 참 멀었을 때 숲에서 1주일 생존하기라는 게임이 있었어요. 99일과 비슷하게 자원을 구하고, 기지를 짓고, 먹을 거를 구하는 게임인데 밤마다 괴물이 나와요. 종류도 많아요. ||| 뉴비천국님 목소리가 좋으시네요 옛날에 봤었는데 ||| 크리스마스때 업데이트로 북극에서 살아남기! 랑 비슷하게 만들엇으면 좋겟다 ||| 옛날 올린건줄알았는데 오늘 올림 ㅋㅋ (게임 알려주세요 마지막)",게임
bhNU_MMKwbU,감염자 구별하다가 생존자를 날려버렸네..ㅋㅋ #shorts #game,BanaMongki,"게임 제목 : Quarantine Zone: The Last Check 현재 스팀에서 데모버전으로 플레이 가능합니다. 풀버전 영상은 채널에 오시면 볼 수 있습니다~! ||| 잘보다가 죽임당할려니까 덤비러 오는거에서 개뿜었넼ㅋㅋㅋㅋ ||| 덤비는거 뭐야 ㅋㅋㅋㅋㅋㅋ 개 웃기네 ㅋㅋㅋㅋㅋㅋ ||| 죽으러 가기 전에 또 다른 검문소냐고 묻는거 좀 슬프다ㅠ ||| 데모 재밋게 해서 정식출시 기대하는중... 생존자들 격리,분리,처분은 물론 정상인들 수용소도 물자 관리 해줘야대고, 주기적으로 좀비들 습격도 막아줘야 되고, 수용소 꽉차면 정상인들 내보내고 수송차 호위도 해줘야대서 할일이 많음",게임
QTDKgjeeMqg,플스의 가치는 독점 게임을 통해서만 드러난다... 2025년 네 번째 머스트 해브 게임 《고스트 오브 요테이》 리뷰 (스포일러 없음),집마 홀릭,명절 하루 전 허리를 삐끗해서 컨디션 난조 때문에 업로드가 조금 늦었네요. (현재는 다 나았습니다ㅎㅎ)  영상 재밌게 보시고 저는 다른 리뷰로 찾아 뵐게요! 항상 감사합니다 :)  🏧게임 구입 링크(PS5)  https://www.playstation.com/ko-kr/games/ghost-of-yotei/ ||| 개인적으로 아쉬운점은 엔딩보고 쓰시마처럼 보스전 다시하기 라던가 점령지역 다시하기 같은 요소가 있으면 더 좋았을거 같은데 새게임+도 없는게 큰 단점이네요 엔딩보고 더 하고 싶은데 할게 없으니... ||| 이번작의 가장 큰 문제점은 번역인거 같습니다. 아츠보고 오빠라고 하지 않나 그 외에 다양한 오역이나 호칭 혹은 존댓말 반말등이 오락가락 하는 등 검수가 되지 않은 것 같은 퀄리티라 많이 아쉬웠네요. 곳곳에서는 번역기를 돌린건가 싶을 정도로 심각한 오역들도 눈에 띄었습니다. ||| 아무것도 모르고 쓰시마도 안해보고 관심도 없었는데 우연히 요테이 방송보고 액션이 너무 찰져서 시작했는데 몇년만에 진짜 재밌는 액션게임 찾아서 너무 즐겁게 플레이중이에요!! ||| 연휴 6일동안 60시간달려서 엔딩본 갓겜이네요 ㅎㅎㅎ 진짜로 돈값하는 게임이었습니다 ㅎㅎㅎ,게임
toBtV_jV-nw,플스 10월 세일 마지막 게임 추천!! + ✨할인 몰아보기✨,쎈축용쓰TV,항상 감사드립니다! ||| 순간 48분을 4분8초로 잘못봤음 어쩐지 10초 넘기고 넘겨도 끝나지 않길래 봤더니 48분 ㄷㄷㄷ 할인 몰아보기도 좋네요 ㅎㅎㅎㅎ ||| 매번 보는 세일 영상인데도 이번에 갓겜 두개 건졌네요... 행복합니다 감사하고 늘 행복하세요 센축뿅뿅😊😊 ||| 왜 10월 카탈로그 안올라오나요??ㅠㅠ ||| 항상 잘보고있어요 😊,게임
hOz5M1tE8w8,우리 엄마가 생각하는 게임의 모습 VS 현실,김켈리 Kellyfornia,"저럴때는 게임에 있는 사람들한테도 욕먹고 엄마한테도 욕먹어서 진짜 억울한 상황임… ||| “잠시만 멈춰줘~” 이러네ㅋㅋㅋㅋㅋ ||| 오늘도 재밌는 영상 감사합니다❤❤❤ ||| 저럴 때는 직접 보여주면서 이게 얼마나 멈추기 힘든 게임인지를 보여줘야 납득 하심. 일단 내가 그렇게 해서 끝내고 하라는거 하기로 함 ||| 엄마한테 들으면 가장 짜증나는 말""정지하면 되자나""",게임
H4R0jOL8tfA,모바일게임 현질 월 매출 TOP5!,랭킹북,"가장 걸러야되는 게임들아니냐.. ||| 진짜 ㅋㅋㅋㅋ 과학의 발전은.. 생활을 행복하게 해주지만..  모바일 게임만 안나왔어도... 차한대는 뽑았을듯.. ||| 이제 신규 게임이 안나오니까 과금으로 순위매기네 ...슬픈현실 ||| 쿠킹덤은 솔직히 무과금으로도 가 가능함 남들 사기쿠 쓰고 한 한달 뒤면 나도 어찌저찌 그쿠키 쓰고있음 저 현질들이 다 진짜 현질하려 게임하는 사람들,유튜버들이 다하는거 ||| 몇 몇 게임은 그냥 순수하게 인기가 많아서 사람이 많다보니 효율좋은 패스같은거나 사는걸로 저정도 수익이 나오는거같은데",게임
9a510Z9JV2Q,좀비냐 사람이냐 검문소 게임,우주하마,아 이거 생방 너무 재밌었어 ㅋㅋㅋㅋㅋ 빨리 정식버전 나오거 플레잉 보고싶다 ||| 우좜마... 정식버전 나오면 설명서 다시 읽고 해줘...ㅜ 보라색 uv로도 사람 몸 꼼꼼하게 보면 숨겨진 물린자국 형광으로 나와. 정식 버전 나와서 했을때 생존자 구역에 좀비 넣어서 생존자 다 죽으면 게임오버 될까봐 장시간 게임하는거 보고 싶은데 부디 살아주라😂 ||| 와 나 우주하마가 이거 해줬으면 좋겠다고 간절하게 생각했는데 너무 행복하네 ||| 0:19왤케 더빙잘하냐 ㅋㅋㅋㅋ ||| 우주하마 이번 게임 룰을 잘 안 봤나봐 ㅋㅋㅋㅋㅋㅋㅋ  무조건 패스야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,게임
