url,title,channel_name,comment,category
2SfD89oSbp8,30년전 게임기로 30년전 게임을 해봤습니다 ...요즘 게임보다 30년전 게임이 더 재밌는거 실화?,빅민 TV,이거시.. 게임 불감증.. ||| 빅민님 영상은 언제 봐도 재미있네요! 빅민님을 응원할께요!!! ||| 2:36 ㄱ.기 기안이 보인다! ||| 영상 끝나면 30년 전 게임기 창고에 던져버리고 닌텐도 스위치 하실거면서... ||| 빅민님 볼때마다 너무 재밌으셔욬ㅋㅋ 편집도 잘하시구! 본받고 싶네요!! 오늘영상도 너무 재밌었어요!!💕,게임
EEa_uXLjbh8,[특별기획] 2018년 최고의 게임 TOP10,SSREK GAMES,"잘보고갑니다 ||| 잘 봤어용^ ||| 우와 팩트 리뷰 좋아요! 흥하자!^-^ ||| PS4 처음 나오고 라스트 오브 어스 리마스터 나올때만하더라도  ""와 PS4 역대급 게임이다""라고 말하며 이를 뛰어넘을 작품은 라오어2밖에 없을거라고 했는데  위쳐3, 호라이즌 제로 던을 지나 몬스터 헌터와 갓 오브 워까지 나오고나니 이건 오히려 점점더 발전하고 있는게 확실히 느껴집니다.  거기에 레드 데드 리뎀션2까지 출시하니 지금 바로 PS4의 황혼기 그 정점이 아닐까 생각합니다.  용과 같이, 어썌신크리드, 스파이더맨 이런 게임들도 정말 명작이고 잘만들었는데  워낙 괴물같은 게임이 많이나와서 빛이 바랜 느낌입니다. ||| 동감합니다. 정말 잘 선정하셨습니다~",게임
THUattQuqyc,가성비로 승부한다! 만원도 안되는 PS4  한국어 덤핑 게임들 소개!!! PART.2[Game Contents],록키장의 게임TV,"영상에서 보여지는 록키님의 인성에 한번 놀라고(긍정적인 의미로), 좋은 주제 잘 찾아내시는 능력에 또 한번 놀라고 가네요. 덕분에 몰입해 잘 봤습니다. 영상 만드시느라 수고하셨어요^^ ||| 말을 정말 필요한말만 하시는게 너무 집중도 잘되고 좋았습니다 목소리도 귀에 쏙쏙 들어오네요 ||| 록하! 우와 2천명 실화입니까 ㅋㅋ 집마님도 오시고 이거이거 대형 유튜버시작이네요 ㅋㅋㅋㅋ 추카드려요♡  전 개인적으로 덤핑작들을 굉장히 좋아하는 입장에서 패스트큐어는 정말 어휴 절레절레입니다 ㅋㅋㅋㅋㅋㅋㄱㅋ퀀텀브레이크를 20프로정도만들다가 만듯한 게임이랄까요 ㅋㅋㅋ ||| 캬아 첫 게임부터 노맨즈 스카이라니 뭔가 감동적입니다  주옥같은 작품들이네요.. 중간에 패스트큐어도 있는거보고 더더욱 감동했습니다 ||| 오늘도 영상과 게임 소개 감사합니다",게임
Y3OmBQzscRw,PS4 넘나 재밌는 레이싱게임 TOP4,더마TV,와우... ||| 포르자 왜 없나 했더니 플스구나 ||| 혹시 처음에 나오는 브금 좀 알 수 있을까요. ||| ps4로 레이싱 게임 할려면 휠?같은걸 따로 사야하나요? ||| 근데 제가 플스로 드라이브 클럽 해봤는데 유튭에서 볼수 있는 차들이 왜없는지 알수있을가여?,게임
jCWecms4sb4,추천 모바일 FPS게임 TOP 5,마참,썸네일 배틀필드1인데 왜 모바일인것처럼 넣어놓냐 ||| 스솔이 없는 이유  현질 유도 너무 심함 ㅇㅈ? ||| 섬넬어그로 하... ||| 노바 3 기억하시는분.... ||| ㅋㅋㅋ 썸네일 배틀필드 어그로 보솤ㅋㅋㅋㅋㅋㅋ,게임
hpW77nCHiLs,2019년 모바일게임 기대작 TOP30 | 2019 모바일게임 추천 TOP30 - 핫게임즈TV,핫게임즈TV,큐플레이도 카카오랑 연계해서 나오면 개잘될거같은데 ||| 좋은 게임소개 감사합니다. ||| 2019년모바일게임기대작을많이소개시켜주셨는데 올해출시되는모바일게임소식만으로도 2019년을보람차게보낼수있을꺼같습니다! 정말기대되네요~ ||| 너무 목소리도 좋고 설명도 좋아서 구독했습니닼ㅋ ||| 트레인 시티 해보신분 개 명작이았는데...ㅠ,게임
-mUzB1hmSFA,갑자기 탈출하는 공룡들! 더게임이 달라졌다! [쥬라기월드 31화],기리TV,레츠고 도착완료! 내일부터 포켓몬이 시작됩니다! ||| 1:38너무 귀여운거 아니냐ㅠㅠ ||| 0:04 아...  그는 갔습니다 ||| 오랜만에 더 게임이네요!!기다렸어요 ||| 9:02  꼬리 돌리는거 리퍼 꼬리 돌리기랑 완전 똑같음 ㅋㅋ,게임
eqydes5AQOo,닌텐도 스위치 [포트나이트] 무료로 플레이할수있는 배틀로얄 게임이에요!!! 스위치에 나와서 한번 플레이해봤어요! 간단 리뷰 & 플레이 영상,돼지저금통,닌텐도 스위치 닌텐도 e샵의 북미계정으로 접속하시면 무료로 다운받으실수있어용! ||| 재미있어요 계속 올려주세용 ||| 썸네일이 로딩화면이였을때 시작했는데 이제 저거도 추억이네 ||| 피그님 나무나 벽 부실때 그표적같은게 뜨는디 거기다가 공격하면 더빨리캐져요 (안하면:50)(하면:100) 대미지에요 ||| 와 역시 돼지저금통님 재미있어요. 꿀꿀🐽🐽,게임
EgL522Gc0b0,항아리 게임 50초컷,HyperZero,내가 뭘 보고있는거지... ||| 아무리 노력해도 극복할 수없는 것이 존재한다는 실감을 느끼고 갑니다. ||| 첨엔 뭔 배속인줄ㅋㅋㅋㅋㅋㅋ 이게 말이되냐ㅋㅋㅋㅋㅋㅋㅋㅋ 1분40초도 개지리면서 봤는데 뭔ㅋㅋㅋㅋㅋ ||| 2년 전 영상이지만 다시봐도 진짜 믿을 수가 없다. 사람이 이렇게 플레이를 할 수가 있구나... ||| 이거야말로 진짜 드림팀의 김병만이다..와..,게임
s3_2cu7iHws,모바일게임만 2년했던 유튜버가 뽑는 TOP 10 게임들 - [썩쏘],썩쏘TV,2:50 이야 오랜만이다 ||| 6:49 1. 나는 개가 되었다 6:05 2. 표창키우기1 5:27 3. 뒷산에서 보석캐기 4:45 4. 성키우기 4:05 5. 어쌔신 표창던지기 3:35 6. 벽부수기 2:33 7. 땅파기 지구를 뚫어라 1:58 8. 돌키우기 온라인 1:29 9. 슈퍼알피지 0:54 10. 언제나 여름방학 ||| 영상 시작 0:01 Top10 0:53 Top9 1:25 Top8 1:56 Top7 2:32 Top6 3:33 Top5 4:03 Top4 4:43 Top3 5:25 Top2 6:03 Top1 6:48 영상 끝 8:04 ||| 정말 영상편집 언제나깔끔해서 좋아요 하루중 어느정도 시간투자하시는지 궁금하네요 ㅎㅎ ||| 요증 다양한 방법으로 영상을 올리셔서 보기 좋네요ㅎㅎ  앞으로도 재밌는 영상 부탁드릴께요😁😁,게임
