url,title,channel_name,comment,category
tIAvI_gQyxM,PUBG - 그저 게임실황,RedLios,그래서 롭엔언? ||| 1빠군 껄,게임
5RPnN1viMSo,[다소미][ 20190712 게임 실황 ] 배그가 된다니 실화냐,NOBA STATION,16:00 엎드려 있어,게임
LC-m7qncUQA,[LiVE실시간]Realm Royale 렐름 로얄 무료스팀게임,닉네임없음,,게임
K7dROD7X3rs,봄딩(Bomding) / 스팀 게임(steam game) 달의 시간(Time of the Moon) 플레이 리뷰,봄딩,,게임
8DWxGT65qqw,"[스팀게임]  ""Shepherd of Light"" 무료 힐링게임 FULL버전",라꾸랑,"게임:빛의 양치기 나의아들아,나는아주 긴 여행을 떠날거다.내가 가있는동안 양들을 돌봐줘라. 안녕,아들아.내가 너에게 맡긴 양들을 잃어버린것을 봤다.너는 그들(늑대들)이 어둠에의해 데려가기전에 잃어버린 양을 되찾아야만한다.(가려서안보이지만)나는 땡땡을 통해 안내를 해줄수있다.하지만,너는 진실된 양치기가 되기위해 그들을 찾아야만한다.행운을 빈다,아들아.당신은 늑대의 어둠을 제압할수없슴돠.늑대들은 당신의 양에서 나오는 빛을 두려워해요.늑대들보다 더많은 양떼가있으면 넘어갈수있슴돠.잘했다,아들아.너는 농장에서 집으로돌아갈 방법을 찾아야된다.이곳은 어린양들이 있는 초원이다.숫양들은 새로운 통로들이 나타나게 도와주고 당신과함께 여행을 할것임돠.나의아들아,이것이 초원에서 잃어버린것중하나인 폭풍양이다.폭풍숫양은 가까이에 있슴돠.그(폭풍양)과함께 환자가될수도있고 그는 당신의여행에 도움이될수있슴돠.폭풍양의 빛은 어둠을 격퇴하기에 충분히 세지않슴돠.그(폭풍양)은 늑대를 지나가 동행하기위해 빛양이 필요함돠.폭풍양을 통제하기위해 당신의 지팡이에서 파란빛을 사용하셈!이 망가진길은 폭풍양으로 열수있슴돠.불양을 구조하기위해선 그들(빛양,폭풍양)과함께 도전을 이겨내야함돠.(가려서안보였지만예상)계속 나아가기위해 그(불양)의도움이 필요할것임돠.폭풍양의 빛은 다리를 만드는데 사용할수있슴돠.당신의 여행을 계속하기위해 아주깊은틈의 각사이공간에 한마리씩둬야함돠.불양은 매우휘발성이 강함돠.하지만 늑대들은 그들(불양)의 빛을 두려워하지않슴돠.그림자양은 가까이에있슴돠.그(그림자양)을 구출하기위해 통로를 클리어해야만함돠.기폭제횃불은 불양에 불을 붙임돠.불양은 장애물들을 클리어하기위해 불꽃의사슬들을 형성할수있슴돠.당신의 지팡이는 이제 오렌지빛을사용해 불양을 통제할수있슴돠.그림자 양은 오직한마리임돠.비록 그(그림자양)는 늑대들을 격퇴하지못할지도모름돠..그(그림자양)는 어둠아래를통해 움직일수있슴돠.그전에 골드양이 있슴돠.그림자양이 인도할수있슴돠.당신의지팡이는 이제 그림자양을 통제할수있슴돠. 그(그림자양)는 긴거리를 지날때 사용할수있슴돠.당신이필요할때 그(그림자양)는 언제나 다시돌아올수있을것임돠.잘했다,나의아들아.너는 아마이제 휴식을취하겠지.너는 나의믿음을 받을만한자격이있다는걸 증명했구나.난 너가자랑스럽다. -the end- 휴..해석 다했다리!!빼에에엑 ||| 게임이 은은하게 재미있네요 꼭 한번 해봐야겠어요ㅎ ||| 집중 하다가 깜짝 놀라는게 같이 놀라네요 ㅎㅎ ||| 힐링게임 나이따 ||| 오늘영상도 너무재밌고용~혹시 영어궁금하신분들은 아래에있고용! 풀영상도 다보는편이쥬~💕",게임
pb3RXISiBrs,Call Of Duty 1] 팍솽 게임 실황! - 첫 번째 시리즈이자 전설의 시작! 4화 (콜 오브 듀티 1),팍솽,,게임
K58mflHCVYI,"[RB][ 20191026 게임 실황 ] 하 명전투 녹화 못해벌임 ""Polytopia""",NOBA STATION,,게임
Fcd6pVj-Fy0,[카생이] Mind Eyes-공포게임 실황#1,카생이,,게임
7BdhCOvhiHg,휘가람의 게임실황] 오버쿡 (Overcooked) 1화 - 이게 뭐예요 살려주세요,안가람,"0:15 ㅋㅋ외톨이래요 엡베벱ㅂ베베베 ||| ㅋㅋㅋㅋ같이하면 사이가 나빠지고,망하고 혼자 하면  망하고,잘하는법이 뭘까요?바로 사이좋은 사람과 같이하기?근데 이와중에 잘하시는 혼자서 하는것도 잘하시는!👍",게임
ApHqJpW-yls,[파오스] 게임실황 화이트데이 그 마지막!!,MBS by 파오스,,게임
MM6OfxB0udw,Steam game - Forbidden Punch Gameplay  스팀게임 포비든 펀치,gClip,,게임
