url,title,channel_name,comment,category
veQdQXIz8ac,게임 실황 - Bioshock BioShock Infinite 1화,Myoka ch. 묘카,,게임
Mk6bZkFFPho,추억의 게임 실황 : BNB 어드벤쳐 【2021. 02. 19】,아구 래더맨? [SC2],디지니 놀랄 때랑 웃을 때가 제일 커여움... (카러플 빅팬은 디지니를 실실 쪼개는 매력이 커여워서 실실 쪼개는 애라고 부름... 다오는 원숭이... 배찌는 멍청이 등등...) ||| 모스가 정말 귀엽고 깜찍해요. ||| 추억이다..그와중에 배경음 ㄱ좋고  근데 테일즈위버 제작사일줄은 몰랐네 그러고보니 효과음이랑 배경음 좋은것도 비슷함 ㅋㅋ ||| 아빡! 얀게이랑 레밀게이 합방한 영상 다시봤는데 재미있더라고요 3게이 합방 영상도 풀로 올려주면 고맙겠습니다 부~ ||| 풀영상은 언제나 환영이야,게임
x9T-ZlswwxQ,[RB][ 20211104 게임 실황 ] IGPU,NOBA STATION,,게임
KPat7fib3-s,'슈퍼Mㅏ리오' 팬게임 실황,Wall Su,이 게임은 내가 원했던 게임이야ㅠ ||| Mㅏ리오도 자세히보니깐 손이 뻐큐임ㅋㅋㅋㅋ ||| 영국의 게임으로 일본의 게임을 한국버전으로 만들다니 이건 우리가 원했던 모습이야!!! ||| 이 영상으로 알 수 있는 사실) 영 좋지 않은 곳으로 눈물의 굼바를 죽이는 걸 보아 탈모탄 조는 성1자신감이 풍부함을 알 수 있다 ||| 이건 내가 원했던 게이M이야ㅠㅠ,게임
GiJXl6Ntaxc,[게임실황] ConfessMyLove,여름거미,많이 보기만 봤지 엔딩까지 보는 건 이번이 처음이네여 맨날 차이기만 하는 병맛공겜 정도로만 생각했는데 오늘 엔딩 보고 인식이 확 달라졌어요... 주인공도 그냥 이쁜 애한테 껄렁 대는 놈인 줄로만 알았지ㅠㅠㅠ 착한 녀석이었구나 윌리ㅠㅠㅠㅠ    ps. 일 하면서 거미님 목소리 들으니까 넘모 좋네요 ^0^* ㅋㅋ ||| 플레이한 게임이 왜 좀비고등학교라고 뜨는건가..버근가?,게임
_U6uKyKemks,[SB][ 20210630 게임 실황 ] test,NOBA STATION,,게임
D9D9NM7faI4,[SB][ 20210913게임 실황],NOBA STATION,,게임
X1VH4FSOO3g,[SB][ 20210607 게임 실황 ] 235달성~ 아케인리버 최종막,NOBA STATION,,게임
RtrpAUjmxPg,[SB][ 20210604 게임 실황 ] 솜비,NOBA STATION,,게임
3sDXj6PfZKo,[SB][ 20210531 게임 실황 ],NOBA STATION,,게임
